Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;V-Mag;NGC;IC;Common names
IC3771;G;12:46:52.69;+39:10:23.0;CVn;0.33;0.26;83;;;;
IC3772;G;12:46:56.09;+36:31:51.4;CVn;0.83;0.52;15;;;;
IC3773;G;12:47:15.30;+10:12:12.9;Vir;1.93;0.73;20;;;;
IC3774;G;12:47:01.09;+36:17:17.9;CVn;0.97;0.42;106;;;;
IC3775;G;12:47:16.10;+11:45:36.8;Vir;0.81;0.34;51;;;;
IC3776;G;12:47:12.21;+22:29:04.6;Com;0.50;0.21;37;;;;
IC3777;*;12:47:25.35;+09:08:36.5;Vir;;;;;;;
IC3778;G;12:47:01.97;+40:35:47.1;CVn;0.55;0.35;38;;;;
IC3779;G;12:47:20.64;+12:09:59.1;Vir;0.90;0.53;126;;;;
IC3780;*;12:47:08.08;+40:14:09.7;CVn;;;;;;;
IC3781;**;12:47:24.57;+22:34:11.2;Com;;;;;;;
IC3782;*;12:47:15.67;+40:22:03.9;CVn;;;;;;;
IC3783;G;12:47:27.84;+40:33:59.7;CVn;0.66;0.52;98;;;;
IC3784;G;12:47:50.70;+19:23:02.6;Com;0.56;0.32;45;;;;
IC3785;G;12:47:52.17;+19:16:30.8;Com;0.18;0.16;157;;;;
IC3786;G;12:47:36.90;+39:02:45.7;CVn;0.34;0.26;168;;;;
IC3787;**;12:47:41.85;+40:37:25.6;CVn;;;;;;;
IC3788;G;12:48:07.26;+18:52:07.9;Com;0.66;0.66;20;;;;
IC3789;G;12:48:07.10;+20:11:38.5;Com;0.48;0.40;3;;;;
IC3790;*;12:48:14.65;+11:06:27.3;Vir;;;;;;;
IC3791;Dup;12:47:32.11;+54:22:29.4;UMa;;;;;4695;;
IC3792;**;12:48:14.16;+11:05:10.8;Vir;;;;;;;
IC3793;G;12:48:11.89;+19:09:06.1;Com;0.43;0.23;74;;;;
IC3794;*;12:48:21.51;+19:10:13.1;Com;;;;;;;
IC3795;G;12:48:05.11;+40:43:10.7;CVn;0.90;0.24;18;;;;
IC3796;*;12:48:27.00;+20:02:15.7;Com;;;;;;;
IC3797;Other;12:48:34.91;+11:35:52.1;Vir;;;;;;;
IC3798;*;12:48:42.92;+09:14:27.7;Vir;;;;;;;
IC3799;G;12:48:59.64;-14:23:57.2;Crv;2.77;0.38;32;;;;
IC3800;GPair;12:48:26.43;+36:34:33.1;CVn;0.60;;;;;;
IC3800 NED01;G;12:48:26.42;+36:34:33.1;CVn;0.32;0.21;47;;;;
IC3800 NED02;G;12:48:27.25;+36:34:31.3;CVn;0.54;0.36;100;;;;
IC3801;Other;12:49:00.65;+10:57:21.5;Vir;;;;;;;
IC3802;*;12:48:42.61;+38:14:47.2;CVn;;;;;;;
IC3803;*;12:49:04.40;+10:37:54.5;Vir;;;;;;;
IC3804;Dup;12:48:45.87;+35:19:57.7;CVn;;;;;4711;;
IC3805;**;12:48:42.63;+38:15:11.0;CVn;;;;;;;
IC3806;G;12:48:55.36;+14:54:28.4;Com;1.29;0.44;179;;;;
IC3807;Other;12:49:29.80;-04:24:08.2;Vir;;;;;;;
IC3808;G;12:48:58.76;+40:35:45.3;CVn;0.95;0.42;156;17.19;;;
IC3809;G;12:49:04.51;+36:29:20.7;CVn;0.64;0.38;159;;;;
IC3810;*;12:49:03.18;+40:38:47.9;CVn;;;;;;;
IC3811;*;12:49:25.57;+21:27:43.7;Com;;;;;;;
IC3812;G;12:49:53.80;-06:43:02.8;Vir;1.13;0.41;6;;;;
IC3813;G;12:50:02.32;-25:55:14.5;Hya;1.32;0.96;179;;;;
IC3814;G;12:49:32.41;+20:03:01.7;Com;0.59;0.38;132;;;;
IC3815;G;12:49:38.53;+19:16:30.1;Com;0.55;0.36;150;;;;
IC3816;G;12:49:28.47;+37:13:49.0;CVn;0.81;0.76;7;;;;
IC3817;G;12:49:43.47;+22:49:52.9;Com;0.26;0.18;34;;;;
IC3818;G;12:49:46.73;+21:45:08.0;Com;0.41;0.19;169;;;;
IC3819;G;12:50:16.37;-14:22:50.7;Crv;0.56;0.45;70;;;;
IC3820;G;12:49:38.95;+37:07:01.8;CVn;0.46;0.43;54;;;;
IC3821;**;12:49:57.55;+20:58:08.5;Com;;;;;;;
IC3822;G;12:50:22.73;-14:19:18.7;Crv;1.43;0.31;35;;;;
IC3823;*;12:49:43.98;+40:53:00.4;CVn;;;;;;;
IC3824;G;12:50:30.55;-14:25:33.3;Crv;1.13;0.71;0;;;;
IC3825;G;12:50:37.05;-14:28:58.1;Crv;0.60;0.38;178;;;;
IC3826;G;12:50:39.90;-09:01:51.9;Vir;1.84;0.65;178;;;;
IC3827;G;12:50:52.12;-14:29:30.8;Crv;1.13;0.83;162;;;3838;
IC3828;G;12:50:20.70;+37:56:56.2;CVn;0.68;0.34;53;;;;
IC3829;G;12:52:13.30;-29:50:26.4;Hya;3.41;1.04;10;;;;
IC3830;*;12:50:51.37;+19:50:12.1;Com;;;;;;;
IC3831;G;12:51:18.59;-14:34:24.9;Crv;1.50;1.11;138;;;;
IC3832;G;12:50:49.20;+39:48:37.7;CVn;0.46;0.39;72;;;;
IC3833;Dup;12:51:32.39;-13:19:48.1;Crv;;;;;4722;;
IC3834;G;12:51:32.40;-14:13:17.0;Crv;0.95;0.55;70;;;;
IC3835;G;12:50:55.84;+40:11:12.3;CVn;0.50;0.25;98;;;;
IC3836;G;12:51:03.72;+40:11:03.2;CVn;0.49;0.22;86;;;;
IC3837;G;12:51:33.01;+19:43:23.0;Com;0.56;0.32;73;;;;
IC3838;Dup;12:50:52.12;-14:29:30.8;Crv;;;;;;3827;
IC3839;*;12:51:46.26;+20:25:15.5;Com;;;;;;;
IC3840;G;12:51:46.10;+21:44:06.7;Com;0.78;0.78;76;;;;
IC3841;**;12:51:50.50;+22:20:40.2;Com;;;;;;;
IC3842;G;12:51:35.88;+40:22:16.9;CVn;0.34;0.30;164;;;;
IC3843;G;12:51:39.19;+39:00:04.7;CVn;0.49;0.25;179;;;;
IC3844;G;12:52:06.50;+39:49:05.7;CVn;0.39;0.30;31;;;;
IC3845;*;12:52:08.66;+38:37:08.4;CVn;;;;;;;
IC3846;Other;12:52:39.22;+13:38:50.0;Com;;;;;;;
IC3847;G;12:52:33.74;+22:03:53.0;Com;0.30;0.25;126;;;;
IC3848;GPair;12:52:40.19;+21:24:58.0;Com;0.60;;;;;;
IC3848 NED01;G;12:52:40.00;+21:25:00.0;Com;0.55;0.28;113;;;;
IC3848 NED02;G;12:52:40.59;+21:24:52.7;Com;0.67;0.38;158;;;;
IC3849;Other;12:52:36.83;+40:46:20.0;CVn;;;;;;;
IC3850;G;12:52:39.52;+40:06:11.0;CVn;0.72;0.48;49;;;;
IC3851;*;12:53:04.73;+21:54:33.0;Com;;;;;;;
IC3852;G;12:53:03.30;+35:46:24.4;CVn;1.10;0.43;60;;;;
IC3853;G;12:53:10.30;+38:49:45.4;CVn;0.36;0.28;6;;;;
IC3854;G;12:53:14.54;+40:50:53.4;CVn;0.37;0.24;24;;;;
IC3855;G;12:53:22.69;+36:47:09.6;CVn;0.85;0.35;107;;;;
IC3856;G;12:53:45.92;+20:05:31.5;Com;0.67;0.20;122;;;;
IC3857;G;12:53:56.06;+19:36:25.7;Com;0.42;0.34;109;;;;
IC3858;*;12:53:55.54;+20:47:20.5;Com;;;;;;;
IC3859;G;12:54:19.86;-09:07:03.8;Vir;1.12;0.32;159;;;;
IC3860;G;12:54:06.71;+19:18:02.6;Com;0.36;0.32;119;;;;
IC3861;G;12:53:50.83;+38:16:54.5;CVn;0.44;0.34;133;;;;
IC3862;GPair;12:53:53.40;+36:05:13.0;CVn;0.90;;;;;;
IC3862 NED01;G;12:53:52.96;+36:05:13.0;CVn;0.87;0.42;134;;;;
IC3862 NED02;G;12:53:53.44;+36:05:19.3;CVn;;;;;;;
IC3863;G;12:53:53.84;+38:28:49.6;CVn;0.71;0.28;86;;;;
IC3864;G;12:54:12.34;+18:57:04.6;Com;0.23;0.16;146;;;;
IC3865;G;12:54:14.15;+18:52:08.2;Com;0.48;0.35;145;;;;
IC3866;GPair;12:54:15.22;+22:21:42.6;Com;0.60;;;;;;
IC3866 NED01;G;12:54:14.97;+22:21:34.7;Com;0.33;0.22;123;;;;
IC3866 NED02;G;12:54:15.50;+22:21:51.4;Com;0.34;0.26;15;;;;
IC3867;G;12:54:19.58;+18:56:30.5;Com;0.67;0.42;115;;;;
IC3868;G;12:54:21.00;+18:59:25.2;Com;0.41;0.25;63;;;;
IC3869;G;12:54:21.27;+18:58:17.1;Com;0.59;0.25;64;;;;
IC3870;G;12:54:21.58;+22:22:54.1;Com;0.30;0.27;34;;;;
IC3871;G;12:54:25.67;+18:55:44.9;Com;0.52;0.43;17;;;;
IC3872;G;12:54:30.56;+18:57:47.4;Com;0.23;0.18;38;;;;
IC3873;G;12:54:31.60;+18:52:57.6;Com;0.43;0.42;120;;;;
IC3874;G;12:54:34.42;+18:57:25.2;Com;0.45;0.38;102;;;;
IC3875;G;12:54:37.17;+22:02:11.2;Com;0.35;0.27;11;;;;
IC3876;G;12:54:48.33;+19:00:55.2;Com;0.40;0.23;43;;;;
IC3877;G;12:54:48.68;+19:10:41.8;Com;3.07;0.73;25;;;;
IC3878;*;12:54:29.56;+40:04:11.0;CVn;;;;;;;
IC3879;G;12:54:31.87;+38:37:42.8;CVn;0.64;0.42;179;;;;
IC3880;G;12:54:47.99;+22:30:08.0;Com;0.42;0.25;175;;;;
IC3881;G;12:54:53.95;+19:07:05.0;Com;0.40;0.31;94;;;;
IC3882;G;12:54:53.71;+22:34:32.1;Com;0.53;0.28;157;;;;
IC3883;G;12:55:13.52;-08:07:11.1;Vir;1.09;0.54;11;;;;
IC3884;G;12:54:57.73;+19:40:52.6;Com;0.85;0.62;147;;;;
IC3885;G;12:54:42.73;+37:09:17.0;CVn;0.48;0.39;35;;;;
IC3886;G;12:55:00.30;+19:00:42.1;Com;0.40;0.34;22;;;;
IC3887;**;12:54:43.77;+40:18:16.7;CVn;;;;;;;
IC3888;G;12:54:46.37;+39:34:16.6;CVn;0.90;0.35;57;;;;
IC3889;*;12:54:50.90;+36:01:00.6;CVn;;;;;;;
IC3890;G;12:54:50.26;+37:11:07.1;CVn;0.44;0.34;19;;;;
IC3891;G;12:54:58.25;+36:03:09.8;CVn;0.46;0.34;105;;;;
IC3892;G;12:55:06.04;+39:13:19.0;CVn;1.22;0.55;176;;;;
IC3893;G;12:55:07.45;+38:37:25.9;CVn;0.58;0.18;72;;;;
IC3894;**;12:55:27.61;+19:04:08.8;Com;;;;;;;
IC3895;G;12:55:09.23;+39:12:11.7;CVn;0.71;0.69;18;;;;
IC3896;G;12:56:43.23;-50:20:48.7;Cen;3.05;2.12;6;11.60;;;
IC3897;G;12:55:19.10;+39:40:21.4;CVn;0.15;0.08;19;;;;
IC3898;G;12:55:23.84;+37:34:58.4;CVn;0.31;0.25;166;;;;
IC3899;G;12:55:40.66;+20:38:11.2;Com;0.43;0.23;40;;;;
IC3900;G;12:55:41.30;+27:15:02.7;Com;0.96;0.59;178;;;;
IC3901;*;12:55:50.50;+21:56:20.5;Com;;;;;;;
IC3902;*;12:55:38.58;+35:59:45.0;CVn;;;;;;;
IC3903;*;12:55:38.74;+40:23:58.8;CVn;;;;;;;
IC3904;G;12:55:45.60;+36:17:36.3;CVn;0.62;0.37;72;;;;
IC3905;GTrpl;12:56:08.59;+19:51:07.5;Com;0.90;;;;;;
IC3905 NED01;G;12:56:07.99;+19:51:21.2;Com;0.22;0.11;30;;;;
IC3905 NED02;G;12:56:08.58;+19:51:11.6;Com;0.48;0.32;123;;;;
IC3905 NED03;G;12:56:09.27;+19:50:48.2;Com;;;;;;;
IC3906;*;12:55:51.06;+40:27:49.9;CVn;;;;;;;
IC3907;G;12:56:18.18;+18:47:02.5;Com;0.46;0.20;2;;;;
IC3908;G;12:56:40.62;-07:33:46.0;Vir;2.43;0.79;172;;;;
IC3909;G;12:56:02.82;+40:23:07.6;CVn;0.37;0.28;55;;;;
IC3910;**;12:56:04.53;+39:43:11.6;CVn;;;;;;;
IC3911;GPair;12:56:09.43;+35:38:17.7;CVn;0.50;;;;;;
IC3911 NED01;G;12:56:09.22;+35:38:12.3;CVn;0.56;0.38;26;;;;
IC3911 NED02;G;12:56:09.60;+35:38:23.0;CVn;0.50;0.24;36;;;;
IC3912;*;12:56:07.54;+39:54:38.4;CVn;;;;;;;
IC3913;G;12:56:28.57;+27:17:28.6;Com;0.66;0.45;57;;;;
IC3914;G;12:56:22.78;+36:21:39.3;CVn;0.36;0.25;112;;;;
IC3915;*;12:56:39.02;+20:17:30.1;Com;;;;;;;
IC3916;G;12:56:31.17;+38:36:48.4;CVn;0.89;0.60;124;;;;
IC3917;*;12:56:51.63;+22:00:21.8;Com;;;;;;;
IC3918;G;12:56:53.54;+22:22:25.0;Com;0.55;0.40;164;;;;
IC3919;G;12:56:48.71;+38:35:19.5;CVn;0.59;0.43;108;;;;
IC3920;G;12:56:50.05;+39:57:31.2;CVn;0.68;0.21;16;;;;
IC3921;G;12:56:56.65;+38:38:22.2;CVn;0.52;0.25;73;;;;
IC3922;G;12:56:57.50;+38:28:41.8;CVn;0.72;0.23;90;;;;
IC3923;**;12:57:01.13;+37:57:20.6;CVn;;;;;;;
IC3924;G;12:57:24.88;+18:46:53.5;Com;0.42;0.29;121;;;;
IC3925;**;12:57:15.12;+36:25:19.2;CVn;;;;;;;
IC3926;*;12:57:30.41;+22:48:43.0;Com;;;;;;;
IC3927;G;12:58:10.39;-22:52:33.7;Hya;1.29;1.05;166;;;;
IC3928;G;12:57:18.29;+40:26:29.8;CVn;0.33;0.26;145;;;;
IC3929;G;12:57:41.09;+20:23:48.8;Com;0.38;0.28;40;;;;
IC3930;G;12:57:22.39;+38:45:53.7;CVn;0.57;0.29;7;;;;
IC3931;G;12:57:57.20;+19:37:03.5;Com;0.73;0.39;154;;;;
IC3932;*;12:58:05.30;+19:35:00.4;Com;;;;;;;
IC3933;*;12:57:57.20;+36:38:42.2;CVn;;;;;;;
IC3934;G;12:58:17.56;+18:49:31.5;Com;0.51;0.48;58;;;;
IC3935;Dup;12:58:12.68;+26:23:48.8;Com;;;;;4849;;
IC3936;Other;12:58:19.93;+19:03:29.8;Com;;;;;;;
IC3937;G;12:58:24.74;+18:49:07.2;Com;0.54;0.40;111;;;;
IC3938;*;12:58:25.36;+18:45:09.5;Com;;;;;;;
IC3939;*;12:58:28.02;+18:45:06.7;Com;;;;;;;
IC3940;G;12:58:16.47;+35:50:20.2;CVn;0.64;0.33;136;;;;
IC3941;G;12:58:13.91;+39:46:22.2;CVn;0.65;0.49;14;;;;
IC3942;*;12:58:19.89;+36:06:31.5;CVn;;;;;;;
IC3943;G;12:58:36.35;+28:06:49.5;Com;0.92;0.33;59;14.13;;;
IC3944;G;12:58:44.75;+23:46:51.8;Com;0.56;0.34;63;;;;
IC3945;G;12:58:29.63;+39:56:09.3;CVn;0.49;0.19;13;;;;
IC3946;G;12:58:48.72;+27:48:37.4;Com;0.86;0.44;71;13.85;;;
IC3947;G;12:58:52.10;+27:47:06.2;Com;0.66;0.49;100;14.61;;;
IC3948;G;12:58:58.15;+24:03:40.9;Com;0.33;0.29;5;;;;
IC3949;G;12:58:56.01;+27:50:00.1;Com;1.01;0.16;72;14.26;;;
IC3950;G;12:59:06.12;+18:44:08.2;Com;0.58;0.49;145;;;;
IC3951;G;12:59:10.20;+18:45:51.4;Com;0.60;0.37;157;;;;
IC3952;G;12:58:52.15;+38:52:10.2;CVn;0.52;0.38;153;;;;
IC3953;G;12:59:09.12;+23:05:11.8;Com;0.37;0.32;45;;;;
IC3954;G;12:59:12.65;+19:16:22.6;Com;0.22;0.15;83;;;;
IC3955;G;12:59:06.03;+27:59:48.1;Com;0.77;0.51;41;14.31;;;
IC3956;G;12:58:56.38;+37:23:53.4;CVn;0.51;0.41;165;;;;
IC3957;G;12:59:07.49;+27:46:04.0;Com;0.56;0.54;40;14.72;;;
IC3958;G;12:59:11.41;+24:01:20.2;Com;0.53;0.40;112;;;;
IC3959;G;12:59:08.20;+27:47:02.9;Com;0.70;0.70;10;14.03;;;
IC3960;G;12:59:07.96;+27:51:18.0;Com;0.55;0.53;14;14.47;;;
IC3961;Dup;12:59:02.34;+34:51:34.0;CVn;;;;;4861;;
IC3962;*;12:59:14.98;+23:40:04.8;Com;;;;;;;
IC3963;G;12:59:13.50;+27:46:28.6;Com;0.70;0.41;82;14.72;;;
IC3964;*;12:59:13.73;+27:51:03.4;Com;;;;15.91;;;
IC3965;G;12:59:22.68;+18:50:34.6;Com;0.33;0.25;158;;;;
IC3966;G;12:59:13.12;+35:51:19.2;CVn;0.74;0.50;15;;;;
IC3967;G;12:59:12.90;+36:07:45.4;CVn;0.76;0.49;42;;;;
IC3968;G;12:59:25.49;+27:58:23.5;Com;0.44;0.36;48;15.32;;;
IC3969;GTrpl;12:59:32.91;+19:39:07.2;Com;0.80;;;;;;
IC3969 NED01;G;12:59:32.71;+19:39:11.0;Com;0.69;0.39;99;;;;
IC3969 NED02;G;12:59:32.65;+19:38:51.2;Com;0.30;0.20;89;;;;
IC3969 NED03;G;12:59:33.73;+19:39:17.1;Com;0.23;0.12;149;;;;
IC3970;*;12:59:11.43;+40:24:06.9;CVn;;;;;;;
IC3971;G;12:59:31.79;+22:50:41.3;Com;0.38;0.33;119;;;;
IC3972;*;12:59:17.15;+37:16:44.9;CVn;;;;;;;
IC3973;G;12:59:30.82;+27:53:03.2;Com;0.76;0.44;141;14.03;;;
IC3974;Dup;13:05:20.20;-35:20:14.7;Cen;;;;;4947;;
IC3975;G;12:59:15.69;+38:52:57.9;CVn;0.87;0.51;31;;;;
IC3976;G;12:59:29.40;+27:51:00.5;Com;0.66;0.31;153;14.42;;;
IC3977;*;12:59:19.66;+36:47:53.1;CVn;;;;;;;
IC3978;G;12:59:37.45;+19:37:20.0;Com;0.21;0.19;131;;;;
IC3979;*;12:59:20.75;+36:19:27.6;CVn;;;;;;;
IC3980;G;12:59:18.60;+39:09:04.5;CVn;0.36;0.31;45;;;;
IC3981;*;12:59:21.45;+37:13:40.1;CVn;;;;;;;
IC3982;*;12:59:18.59;+40:04:49.9;CVn;;;;;;;
IC3983;**;12:59:20.51;+39:14:47.9;CVn;;;;;;;
IC3984;GPair;12:59:40.31;+19:37:28.3;Com;0.50;;;;;;
IC3984 NED01;G;12:59:40.39;+19:37:32.6;Com;;;;;;;
IC3984 NED02;G;12:59:40.26;+19:37:23.1;Com;0.35;0.33;70;;;;
IC3985;G;12:59:43.15;+19:35:28.0;Com;0.37;0.33;75;;;;
IC3986;G;13:01:32.14;-32:17:27.8;Cen;1.85;1.38;124;;;;
IC3987;G;12:59:25.04;+38:44:00.4;CVn;0.49;0.41;40;;;;
IC3988;*;12:59:26.82;+37:14:41.9;CVn;;;;;;;
IC3989;*;12:59:28.74;+36:45:23.7;CVn;;;;;;;
IC3990;G;12:59:39.11;+28:53:43.9;Com;0.87;0.29;30;14.00;;;
IC3991;G;12:59:39.79;+28:55:35.7;Com;0.91;0.41;66;14.36;;;
IC3992;*;12:59:33.29;+36:46:18.6;CVn;;;;;;;
IC3993;G;12:59:30.47;+40:36:06.4;CVn;0.48;0.41;1;;;;
IC3994;G;12:59:50.84;+22:43:00.3;Com;0.30;0.23;164;;;;
IC3995;*;12:59:33.93;+39:02:23.2;CVn;;;;;;;
IC3996;**;12:59:31.50;+40:28:03.2;CVn;;;;;;;
IC3997;G;12:59:36.93;+36:41:44.4;CVn;0.38;0.31;45;;;;
IC3998;G;12:59:46.78;+27:58:25.9;Com;0.56;0.41;8;14.61;;;
IC3999;Dup;12:59:30.82;-14:07:56.4;Vir;;;;;4862;;
IC4000;G;12:59:36.62;+39:35:15.9;CVn;0.36;0.26;53;;;;
IC4001;G;12:59:37.93;+38:52:12.9;CVn;0.58;0.34;32;;;;
IC4002;G;12:59:40.61;+36:45:48.5;CVn;0.43;0.23;68;;;;
IC4003;G;12:59:39.33;+38:48:56.1;CVn;1.07;1.07;91;;;;
IC4004;G;12:59:42.77;+38:48:40.7;CVn;0.87;0.81;143;;;;
IC4005;**;13:00:02.54;+22:38:23.7;Com;;;;;;;
IC4006;*;12:59:48.72;+37:00:39.9;CVn;;;;;;;
IC4007;GPair;13:00:06.85;+19:57:50.8;Com;0.40;;;;;;
IC4007 NED01;G;13:00:06.63;+19:57:43.7;Com;;;;;;;
IC4007 NED02;G;13:00:06.99;+19:57:52.8;Com;0.34;0.22;146;;;;
IC4008;**;13:00:05.74;+22:21:01.8;Com;;;;;;;
IC4009;*;12:59:52.80;+36:39:38.7;CVn;;;;;;;
IC4010;G;12:59:54.04;+37:51:32.8;CVn;0.52;0.28;65;;;;
IC4011;G;13:00:06.39;+28:00:14.9;Com;0.40;0.38;1;15.05;;;
IC4012;G;13:00:07.99;+28:04:42.8;Com;0.51;0.42;131;14.64;;;
IC4013;*;12:59:57.83;+37:11:57.8;CVn;;;;;;;
IC4014;G;13:00:13.90;+22:29:58.6;Com;0.40;0.36;4;;;;
IC4015;Dup;12:59:59.61;+37:11:36.2;CVn;;;;;4893;;
IC4016;Dup;12:59:59.84;+37:11:17.3;CVn;;;;;4893A;;
IC4017;G;13:00:15.92;+22:33:20.5;Com;0.39;0.20;91;;;;
IC4018;G;12:59:57.44;+40:29:19.4;CVn;0.18;0.15;168;;;;
IC4019;**;13:00:17.43;+23:43:15.0;Com;;;;;;;
IC4020;G;13:00:03.40;+38:36:35.6;CVn;0.93;0.19;80;;;;
IC4021;G;13:00:14.74;+28:02:28.7;Com;0.40;0.38;26;14.75;;;
IC4022;*;13:00:04.93;+38:28:44.1;CVn;;;;;;;
IC4023;G;13:00:26.54;+19:05:50.4;Com;0.62;0.35;176;;;;
IC4024;*;13:00:03.97;+40:30:32.9;CVn;;;;;;;
IC4025;G;13:00:28.36;+19:06:18.1;Com;0.62;0.35;176;;;;
IC4026;G;13:00:22.14;+28:02:49.2;Com;0.58;0.41;73;14.63;;;
IC4027;G;13:00:13.62;+37:08:29.1;CVn;0.45;0.33;167;;;;
IC4028;G;13:00:16.13;+36:15:14.8;CVn;0.78;0.61;151;;;;
IC4029;G;13:00:14.20;+38:45:35.0;CVn;0.42;0.20;109;;;;
IC4030;G;13:00:27.97;+27:57:21.5;Com;0.53;0.36;16;15.27;;;
IC4031;G;13:00:15.48;+39:08:41.8;CVn;0.21;0.17;124;;;;
IC4032;G;13:00:25.65;+28:52:04.1;Com;0.60;0.44;176;14.68;;;
IC4033;G;13:00:28.39;+27:58:20.7;Com;0.50;0.28;100;15.23;;;
IC4034;G;13:00:19.59;+37:02:46.3;CVn;0.41;0.24;63;;;;
IC4035;GPair;13:00:17.34;+40:18:05.2;CVn;0.80;;;;;;
IC4035 NED01;G;13:00:16.69;+40:17:58.7;CVn;0.48;0.23;34;;;;
IC4035 NED02;G;13:00:18.00;+40:18:08.5;CVn;0.55;0.09;179;;;;
IC4036;*;13:00:20.75;+36:54:32.6;CVn;;;;;;;
IC4037;G;13:00:19.42;+39:00:09.5;CVn;0.35;0.28;109;;;;
IC4038;G;13:00:21.77;+37:02:21.7;CVn;0.59;0.31;168;;;;
IC4039;G;13:00:39.38;+21:41:30.2;Com;0.50;0.42;10;;;;
IC4040;G;13:00:37.93;+28:03:26.5;Com;0.78;0.34;152;14.76;;;
IC4041;G;13:00:40.85;+27:59:47.8;Com;0.61;0.44;44;14.77;;;
IC4042;G;13:00:42.77;+27:58:17.0;Com;0.72;0.60;2;14.01;;;
IC4043;G;13:00:34.68;+37:04:18.9;CVn;0.98;0.30;160;;;;
IC4044;G;13:00:47.41;+27:55:19.8;Com;0.48;0.30;43;15.47;;;
IC4045;G;13:00:48.64;+28:05:26.8;Com;0.79;0.44;109;13.77;;;
IC4046;*;13:00:39.43;+36:41:09.3;CVn;;;;;;;
IC4047;G;13:00:57.69;+19:41:13.2;Com;0.88;0.81;90;;;;
IC4048;G;13:00:38.15;+39:49:51.5;CVn;0.46;0.21;178;;;;
IC4049;G;13:00:42.66;+36:20:44.0;CVn;1.07;1.07;69;;;;
IC4050;**;13:00:43.82;+36:44:23.5;CVn;;;;;;;
IC4051;G;13:00:51.56;+28:02:34.1;Com;0.96;0.58;51;13.58;;;
IC4052;**;13:00:41.92;+39:40:03.5;CVn;;;;;;;
IC4053;*;13:01:01.31;+22:55:29.0;Com;;;;;;;
IC4054;*;13:01:01.36;+22:54:18.1;Com;;;;;;;
IC4055;Other;13:01:02.63;+22:54:30.8;Com;;;;;;;
IC4056;G;13:00:44.29;+39:45:14.9;CVn;0.68;0.37;96;;;;
IC4057;GGroup;13:01:05.23;+23:09:44.9;Com;0.70;;;;;;
IC4057 NED01;G;13:01:04.92;+23:09:44.7;Com;;;;;;;
IC4057 NED02;G;13:01:05.29;+23:09:36.9;Com;0.35;0.13;82;;;;
IC4057 NED03;G;13:01:05.60;+23:09:49.4;Com;;;;;;;
IC4057 NED04;G;13:01:06.13;+23:09:53.8;Com;;;;;;;
IC4058;G;13:01:09.34;+19:29:39.0;Com;0.62;0.34;116;;;;
IC4059;G;13:01:15.47;+19:16:24.8;Com;0.41;0.33;58;;;;
IC4060;G;13:00:52.56;+40:35:04.4;CVn;0.79;0.59;147;;;;
IC4061;GPair;13:00:57.64;+39:34:57.9;CVn;0.50;;;;;;
IC4061 NED01;G;13:00:57.39;+39:34:59.2;CVn;0.39;0.30;122;;;;
IC4061 NED02;G;13:00:58.10;+39:35:02.2;CVn;0.48;0.37;123;;;;
IC4062;G;13:00:58.64;+39:51:32.2;CVn;0.38;0.38;93;;;;
IC4063;G;13:01:06.65;+39:14:42.7;CVn;0.30;0.24;158;;;;
IC4064;G;13:01:06.73;+39:50:29.3;CVn;1.40;1.08;35;;;;
IC4065;G;13:01:10.99;+39:44:40.1;CVn;0.73;0.38;155;;;;
IC4066;*;13:01:40.16;+19:16:21.4;Com;;;;;;;
IC4067;G;13:01:20.10;+39:56:25.3;CVn;0.38;0.25;12;;;;
IC4068;G;13:01:20.18;+39:53:56.6;CVn;0.57;0.35;70;;;;
IC4069;G;13:01:24.78;+36:06:45.8;CVn;0.41;0.23;13;;;;
IC4070;G;13:01:43.29;+19:18:07.0;Com;0.58;0.39;44;;;;
IC4071;G;13:02:04.09;-07:36:11.5;Vir;0.97;0.55;8;;;;
IC4072;*;13:01:25.84;+37:21:13.4;CVn;;;;;;;
IC4073;G;13:01:25.71;+39:54:51.4;CVn;0.81;0.27;143;;;;
IC4074;G;13:01:48.98;+19:00:31.9;Com;0.59;0.38;43;;;;
IC4075;G;13:01:48.56;+19:57:54.0;Com;0.44;0.31;104;;;;
IC4076;G;13:01:48.59;+23:23:20.8;Com;0.41;0.37;143;;;;
IC4077;G;13:01:34.05;+37:23:10.4;CVn;0.42;0.28;61;;;;
IC4078;**;13:01:35.66;+36:35:35.6;CVn;;;;;;;
IC4079;G;13:01:56.79;+19:14:55.7;Com;0.42;0.37;10;;;;
IC4080;GPair;13:01:57.80;+19:15:16.9;Com;0.40;;;;;;
IC4080 NED01;G;13:01:57.71;+19:15:11.7;Com;0.79;0.16;38;;;;
IC4080 NED02;G;13:01:58.25;+19:15:21.3;Com;0.23;0.12;64;;;;
IC4081;G;13:01:55.30;+22:46:15.7;Com;0.42;0.28;157;;;;
IC4082;G;13:01:39.09;+37:20:29.9;CVn;0.44;0.27;92;;;;
IC4083;G;13:01:38.91;+38:08:32.5;CVn;0.41;0.26;20;;;;
IC4084;**;13:01:41.03;+36:57:56.4;CVn;;;;;;;
IC4085;G;13:01:38.19;+39:42:09.7;CVn;0.30;0.25;132;;;;
IC4086;G;13:01:42.84;+36:38:54.3;CVn;0.82;0.66;178;;;;
